timestamp,place_name,place_type,place_id,live_popularity
2025-12-30 00:37:25,Northern Bakeries,restaurant,ChIJX61JUBBShUQRdNeoB9Yi8Uw,0
2025-12-30 00:37:25,Fortuna,restaurant,ChIJe84eAEBShUQRGhpSSEwi9pw,0
2025-12-30 00:37:26,Amigos bar&grill,bar,ChIJPwwsfi4QNEQRwTBcV2klkQU,0
2025-12-30 00:37:26,Kruzhka,bar,ChIJ9Z0KvtAPNEQRC5YoLe-zq_U,0
2025-12-30 00:37:27,Nevod,bar,ChIJYwAJVQVShUQRcM-Z7DHX8_g,0
2025-12-30 00:37:28,Sushi Wok,restaurant,ChIJN1esagVShUQRLm_HQOlBwyE,0
2025-12-30 00:37:28,Staryy Tomas,restaurant,ChIJe1JJEAVShUQR5DBYYMbu_D8,0
2025-12-30 00:37:29,FARFOR,restaurant,ChIJ0yhJIzAQNEQRSKPotMNZy-w,0
2025-12-30 00:37:29,Kruzhka,restaurant,ChIJCQpdvt4PNEQR59VD6Qg3C-w,0
2025-12-30 00:37:30,"""Tri Shefa""",restaurant,ChIJ7esVJsMPNEQRMQQFeQDJTM0,0
2025-12-30 00:37:31,Sushi-Market,restaurant,ChIJRYnlq9oPNEQR5kBrCw43PZU,0
2025-12-30 00:37:31,Shury-Mury,night_club,ChIJ-789BQFShUQRCpHO1xhcToM,0
2025-12-30 00:37:32,Russkiye Bliny,restaurant,ChIJA8O83eYPNEQR5ZDBuiiDILA,0
2025-12-30 00:37:33,Restoran Kinza Maniya,bar,ChIJl2n-rtcPNEQRAXYNe_cP7Ms,0
2025-12-30 00:37:33,Fresh,bar,ChIJA8O83eYPNEQRwV_ecoXgBFw,0
2025-12-30 00:37:34,Ledokol,night_club,ChIJA8O83eYPNEQRDwIjfkptGKo,0
2025-12-30 00:37:35,Semeynyy Restoran Pitstsafabrika,restaurant,ChIJkcDIxwgRNEQROq6r81HECtg,0
2025-12-30 00:37:36,Вкусно — и точка,restaurant,ChIJXbDjVAIRNEQRqHBHjaSrcho,0
2025-12-30 00:37:36,Kongress-Otel' Meridian,food_court,ChIJd5GpHCoQNEQRahI6sNSq3aw,0
2025-12-30 00:37:37,Black Belt Hotel (Hostel),food_court,ChIJfVLBwSMQNEQRQ8jTQtz1kzE,0
2025-12-30 00:37:38,"Cosmos Murmansk Hotel, a member of Radisson Individuals",food_court,ChIJdyefSdgPNEQR5qPr5yQAjVw,0
2025-12-30 00:37:38,Alyosha,food_court,ChIJJXT5_sgRNEQRO2Rv3tIP-50,0
2025-12-30 00:37:39,Hostel Prichal,food_court,ChIJay17680PNEQRCqnwj7q0Ycw,0
2025-12-30 00:37:39,Tri Zaytsa,food_court,ChIJIdejaC0QNEQROJqcXRK6-ec,0
2025-12-30 00:37:40,AZIMUT Hotel Murmansk,food_court,ChIJA8O83eYPNEQRCX-bFId7vVU,0
2025-12-30 00:37:41,Rooms & Breakfast,food_court,ChIJbTqsadgPNEQRNGOcTG0GdIo,0
2025-12-30 00:37:43,Season's Hostel,food_court,ChIJQyJL7ygQNEQRLcCW8hUyIzI,0
2025-12-30 00:37:43,мини-отель Arctic Hotel,food_court,ChIJuUHRmy0QNEQRSvs0AcFlkw8,0
2025-12-30 00:37:44,Gubernskiy,food_court,ChIJzcBkMSgQNEQR-UIcf5c76pQ,0
2025-12-30 00:37:45,Arctic Home Downtown,food_court,ChIJHZiR4C4QNEQRmYNk4B23-lA,0
2025-12-30 00:37:46,Hostel on Karla Libknekhta 46,food_court,ChIJr34B18wRNEQR4_rmP5DbFME,0
2025-12-30 00:37:46,Khostel Yagel',food_court,ChIJAwQQAaMRNEQR4A_19wbBsec,0
2025-12-30 00:37:48,"Meditsinskiy Tsentr ""Glarus""",food_court,ChIJyThkztUPNEQR8IELRCEZhOk,0
2025-12-30 00:37:49,Avtotsentr,food_court,ChIJA8O83eYPNEQR6SA3b5lO3Xg,0
2025-12-30 00:37:49,Euroset,food_court,ChIJVVVVVUkQNEQR63HFuE92xHM,0
2025-12-30 00:37:50,Boutique Hotel Renaissance,food_court,ChIJS3BczygQNEQRgnzFgLZXdJU,0
2025-12-30 00:37:51,City Centre Otel,food_court,ChIJ682BsS0QNEQRpU9sEPqJwtc,0
2025-12-30 00:37:51,Sailor's Cabin Hostel,food_court,ChIJm7y-NtoPNEQRPm67nEmQe48,0
2025-12-30 00:37:52,Gloriya,food_court,ChIJrYhLONAPNEQRQyLI7g4NVkM,0
2025-12-30 00:37:53,Our planet,gym,ChIJA8O83eYPNEQRW4Jv7jdiRQY,0
2025-12-30 00:37:53,"Murmansk, Skver",park,ChIJDSk4MioQNEQRGPUTbBPp04I,0
2025-12-30 00:37:54,Ryabinovaya Alleya,park,ChIJI8uTddgPNEQR1J1mBDzrBBw,0
2025-12-30 00:37:54,Ploshchad' Pyat' Uglov,park,ChIJvyFLjykQNEQRZo7vAVL49d8,0
2025-12-30 00:37:55,Park Zhertv Interventsii,park,ChIJb70c0isQNEQRzGhi5IBn3BE,0
2025-12-30 00:37:56,"Pamyatnik Rybakam I Korablyam, Pogibshim Pri Zashchite Sovetskogo Zapolyar'ya V Gody Velikoy Otechestvennoy Voyny.",park,ChIJ2QbYKdQPNEQRM_54zSJf55Y,0
2025-12-30 00:37:56,Skver U Morskogo Vokzala,park,ChIJAyH4R7ARNEQRvEBxD73GIDY,0
2025-12-30 00:37:57,Skver Vlyublennykh,park,ChIJ7fskjIgRNEQR8O4t5s5sNbk,0
2025-12-30 00:37:58,Park,park,ChIJcxqPpdAPNEQRd6mXHm_t9FA,0
2025-12-30 00:37:58,Park,park,ChIJdbTmitoPNEQRyzPXAxhQX9U,0
2025-12-30 00:37:59,Detskaya Ploshchadka,park,ChIJ7dgyddAPNEQRZMgcuGsX3n0,0
